=== Motor Control + Encoder RPM Test (10ms) ===
148, 1.480, 0, 6653, 0.00
149, 1.490, 0, 6653, 0.00
150, 1.500, 0, 6653, 0.00
151, 1.510, 0, 6653, 0.00
152, 1.520, 0, 6653, 0.00
153, 1.530, 0, 6653, 0.00
154, 1.540, 1, 6653, 0.00
155, 1.550, 1, 6652, -13.64
156, 1.560, 2, 6651, -13.64
157, 1.570, 3, 6641, -136.36
158, 1.580, 4, 6630, -150.00
159, 1.590, 5, 6619, -150.00
160, 1.600, 6, 6609, -136.36
161, 1.610, 7, 6599, -136.36
162, 1.620, 8, 6588, -150.00
163, 1.630, 10, 6577, -150.00
164, 1.640, 12, 6566, -150.00
165, 1.650, 13, 6555, -150.00
166, 1.660, 15, 6544, -150.00
167, 1.670, 17, 6533, -150.00
168, 1.680, 19, 6532, -13.64
169, 1.690, 22, 6532, 0.00
170, 1.700, 24, 6532, 0.00
171, 1.710, 26, 6532, 0.00
172, 1.720, 29, 6535, 40.91
173, 1.730, 31, 6536, 13.64
174, 1.740, 34, 6536, 0.00
175, 1.750, 37, 6535, -13.64
176, 1.760, 40, 6538, 40.91
177, 1.770, 43, 6543, 68.18
178, 1.780, 46, 6545, 27.27
179, 1.790, 49, 6549, 54.55
180, 1.800, 52, 6555, 81.82
181, 1.810, 55, 6561, 81.82
182, 1.820, 59, 6571, 136.36
183, 1.830, 62, 6577, 81.82
184, 1.840, 66, 6586, 122.73
185, 1.850, 69, 6600, 190.91
186, 1.860, 73, 6611, 150.00
187, 1.870, 76, 6625, 190.91
188, 1.880, 80, 6639, 190.91
189, 1.890, 84, 6656, 231.82
190, 1.900, 88, 6671, 204.55
191, 1.910, 91, 6688, 231.82
192, 1.920, 95, 6706, 245.45
193, 1.930, 99, 6724, 245.45
194, 1.940, 103, 6744, 272.73
195, 1.950, 107, 6765, 286.36
196, 1.960, 111, 6787, 300.00
197, 1.970, 115, 6813, 354.55
198, 1.980, 119, 6838, 340.91
199, 1.990, 123, 6864, 354.55
200, 2.000, 127, 6891, 368.18
201, 2.010, 131, 6917, 354.55
202, 2.020, 135, 6945, 381.82
203, 2.030, 139, 6974, 395.45
